nest,year,clutch_size,brood_size,num_fledged,incubation_start,julian_incubation,nest_age,sunset,sex,t0,t16,t31,t46,t61,t76,t91,t106,t121,t136,t151,t166,t181,t196,t211,t226,t241,t256,t271,t286,t301,t316,t331,t346,t361,t376,t391,t406,t421,t436,t451,t466,t481,t496,t511,t526,Comments,obs_date,obs_time,start_time,stop_time,weater,fledge_date,fledge_accuracy
B10_2004,2004,2,2,2,?,,,2024,M,,0,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F captured at 2130,7/15/2004,2040-2130,20:40,21:30,Breezy,~7/29/2004,not accurate
B10_2004,2004,2,2,2,?,,,2024,F,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F captured at 2130,7/15/2004,2040-2130,20:40,21:30,Breezy,~7/29/2004,not accurate
B10_2004,2004,2,2,2,?,,,2024,Unk,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F captured at 2130,7/15/2004,2040-2130,20:40,21:30,Breezy,~7/29/2004,not accurate
B10_2004,2004,2,2,2,?,,,2024,Total,,0,2,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F captured at 2130,7/15/2004,2040-2130,20:40,21:30,Breezy,~7/29/2004,not accurate
A11_2004,2004,3,3,3,5/30/2004,151,46,2025,M,0,0,1,1,3,1,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fledge Watch,7/14/2004,2031-2217,20:31,22:17,no observations,7/14/2004,w/in 1 day
A11_2004,2004,3,3,3,5/30/2004,151,46,2025,F,0,0,2,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fledge Watch,7/14/2004,2031-2217,20:31,22:17,no observations,7/14/2004,w/in 1 day
A11_2004,2004,3,3,3,5/30/2004,151,46,2025,Unk,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fledge Watch,7/14/2004,2031-2217,20:31,22:17,no observations,7/14/2004,w/in 1 day
A11_2004,2004,3,3,3,5/30/2004,151,46,2025,Total,0,0,3,5,3,1,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fledge Watch,7/14/2004,2031-2217,20:31,22:17,no observations,7/14/2004,w/in 1 day
CS2_2004,2004,-,3,3,6/3/2004,155,41,2025,M,,,4,2,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture Attempt,7/13/2004,2055-2229,20:55,22:29,breezy,7/17/2004,w/in 1 day
CS2_2004,2004,-,3,3,6/3/2004,155,41,2025,F,,,0,2,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture Attempt,7/13/2004,2055-2229,20:55,22:29,breezy,7/17/2004,w/in 1 day
CS2_2004,2004,-,3,3,6/3/2004,155,41,2025,Unk,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture Attempt,7/13/2004,2055-2229,20:55,22:29,breezy,7/17/2004,w/in 1 day
CS2_2004,2004,-,3,3,6/3/2004,155,41,2025,Total,,,4,4,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture Attempt,7/13/2004,2055-2229,20:55,22:29,breezy,7/17/2004,w/in 1 day
CS1_2004,2004,3,3,1,6/15/2004,167,8,2029,M,,,,,,,,,,,,4*,7,6,6*,,,,,,,,,,,,,,,,,,,,,,Apparently Passive,6/22/2004,2317-2411,23:17,24:11:00,normal,7/30/2004,known for eldest
CS1_2004,2004,3,3,1,6/15/2004,167,8,2029,F,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,Apparently Passive,6/22/2004,2317-2411,23:17,24:11:00,normal,7/30/2004,known for eldest
CS1_2004,2004,3,3,1,6/15/2004,167,8,2029,Unk,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,Apparently Passive,6/22/2004,2317-2411,23:17,24:11:00,normal,7/30/2004,known for eldest
CS1_2004,2004,3,3,1,6/15/2004,167,8,2029,Total,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,Apparently Passive,6/22/2004,2317-2411,23:17,24:11:00,normal,7/30/2004,known for eldest
B13_2004,2004,3,≥2,≥2,5/29/2004,150,24,2029,M,,,,,,2,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,M captured at 2232,6/21/2004,2144-2232,21:44,22:32,"rained earlier, currently normal",7/9/2004,known for 1 otherwise innacurate
B13_2004,2004,3,≥2,≥2,5/29/2004,150,24,2029,F,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,M captured at 2232,6/21/2004,2144-2232,21:44,22:32,"rained earlier, currently normal",7/9/2004,known for 1 otherwise innacurate
B13_2004,2004,3,≥2,≥2,5/29/2004,150,24,2029,Unk,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,M captured at 2232,6/21/2004,2144-2232,21:44,22:32,"rained earlier, currently normal",7/9/2004,known for 1 otherwise innacurate
B13_2004,2004,3,≥2,≥2,5/29/2004,150,24,2029,Total,,,,,,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,M captured at 2232,6/21/2004,2144-2232,21:44,22:32,"rained earlier, currently normal",7/9/2004,known for 1 otherwise innacurate
A11_2004,2004,3,3,3,5/30/2004,151,19,2028,M,,,1,2,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture Attempt,6/17/2004,2056-2156,20:56,21:56,light rain,7/14/2004,w/in 1 day
A11_2004,2004,3,3,3,5/30/2004,151,19,2028,F,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capture Attempt,6/17/2004,2056-2156,20:56,21:56,light rain,7/14/2004,w/in 1 day
